Classification,Rndrng Prvdr Zip5,Tot Mdcr Pymt Amt
urban,46122,19663948
urban,75237,40102566
urban,08050,31867313
urban,10467,265021646
urban,10467,2780133
urban,49091,1548074
urban,75110,8227552
urban,78363,4433913
urban,26101,40613547
urban,87102,51302521
urban,85008,14554155
urban,85008,25373823
urban,08755,94778407
urban,97030,12979864
urban,46307,39611871
urban,46307,7610771
urban,53027,4315358
urban,31023,2488604
urban,28078,18017165
urban,27834,166549857
urban,89109,103960453
urban,22306,22265414
urban,10960,45427563
urban,34655,32802957
urban,78613,11329843
urban,22908,191762995
urban,60625,33681015
urban,77845,29628803
urban,36854,876963
urban,13601,27667539
urban,28334,15067016
urban,60521,30706322
rural,49090,1527935
urban,10550,2352472
rural,36027,2503825
urban,96701,31062853
urban,78028,17934428
urban,98001,17301028
urban,76262,1448268
rural,71254,758379
rural,54568,4491013
urban,11219,197277411
rural,93405,22427929
rural,71801,1750458
urban,75751,14726568
urban,78114,1998481
urban,75149,14828252
urban,04240,28964468
rural,86045,8063916
urban,66502,13838664
urban,66502,2503312
urban,24801,3501807
urban,70002,187752
urban,12953,3767391
urban,21078,24253111
urban,72956,589327
urban,30705,2679524
urban,13501,33257190
urban,32204,72505261
urban,31021,16853128
urban,29203,97065352
urban,06606,56554781
urban,92805,4300656
urban,91355,37495427
urban,14215,47934016
urban,30912,79115998
urban,61032,9566204
urban,33756,85282486
urban,61701,26060608
urban,36502,1492841
rural,37334,3162456
rural,25601,16560108
urban,49601,10054254
urban,22630,9358303
urban,01060,26401408
urban,07728,51103867
urban,19020,9293008
rural,13676,13616929
urban,37920,94393889
urban,75010,9051057
rural,71418,521857
rural,71418,2053188
urban,53143,20939581
urban,94063,5873227
urban,21921,39333621
urban,30106,51359128
urban,75090,2497848
urban,89030,18890271
urban,87401,49211010
rural,40351,13065926
urban,29672,24423885
urban,91767,5026594
urban,91767,48592045
rural,28645,11849648
urban,73644,4711330
urban,87114,4477651
urban,77478,11830834
rural,36502,1492841
urban,29650,12937823
urban,33134,10834646
urban,48446,18739092
urban,80524,39380104
urban,21239,75794728
urban,31501,15614181
urban,54476,13251855
urban,91346,51965682
urban,33435,52072284
urban,75082,40410199
urban,06418,19671896
urban,29671,1031773
urban,70810,5543845
urban,70810,943400
rural,74743,3493848
urban,33136,153592135
urban,30274,10027934
urban,55057,3940607
urban,55387,17472792
urban,03801,43402001
urban,03820,29970043
urban,73401,25824894
urban,70121,101694696
urban,46320,10818401
urban,79336,1361715
urban,91505,77358275
urban,18657,738189
urban,31909,9763047
rural,49770,42702406
urban,12601,122203963
urban,19605,23725008
rural,45885,4818022
urban,92647,9710708
urban,49036,6334673
urban,01950,20122206
urban,11030,285086593
urban,98101,100545027
urban,72034,26965395
urban,73112,114029478
urban,73018,5230461
urban,72703,1586543
urban,72703,53002491
urban,74133,27228576
urban,74133,15458391
urban,74133,1159881
urban,35801,21075645
urban,35801,138085225
urban,85020,37428405
urban,78735,1102503
urban,44906,7511762
urban,34239,205635476
urban,21742,97477884
urban,27030,10595116
urban,98902,40791707
urban,94109,17817377
urban,94109,117118738
urban,46227,28811189
urban,02905,1884468
urban,38965,1077038
urban,72118,15758111
urban,70817,2005413
rural,49068,7261068
urban,68025,12488378
urban,97132,6207424
rural,37874,5102875
rural,33196,16709382
urban,10940,93635415
rural,44811,3212710
urban,84041,12366088
urban,84041,3460034
urban,87505,47350707
urban,30501,150939064
